STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,2026-01-02,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,1,2400",0,"T,,1,2400",0,"T,,1,2400",-11,",,1",-67,",,1",null,null,null,null,null,null,null,null,null,null,null,null,28,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,300,",,1",260,",,1",null,null,null,null,null,null,null,null,null,null,67,",,1",103,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-03,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,1,2400",0,",,1,2400",0,"T,,1,2400",-11,",,1",-50,",,1",null,null,null,null,null,null,null,null,null,null,null,null,25,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,290,",,1",290,",,1",null,null,null,null,null,null,null,null,null,null,58,",,1",98,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-04,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,1,2400",0,"T,,1,2400",0,",,1,2400",17,",,1",-33,",,1",null,null,null,null,null,null,null,null,null,null,null,null,22,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,300,",,1",300,",,1",null,null,null,null,null,null,null,null,null,null,63,",,1",94,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-05,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,1,2400",0,",,1,2400",0,",,1,2400",39,",,1",-17,",,1",null,null,null,null,null,null,null,null,null,null,null,null,17,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,220,",,1",220,",,1",null,null,null,null,null,null,null,null,null,null,72,",,1",139,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-06,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,1,2400",0,",,1,2400",0,",,1,2400",56,",,1",17,",,1",null,null,null,null,null,null,null,null,null,null,null,null,18,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60,",,1",50,",,1",null,null,null,null,null,null,null,null,null,null,58,",,1",80,",,1",null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-07,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,1,2400",0,",,1,2400",0,",,1,2400",94,",,1",28,",,1",null,null,null,null,null,null,null,null,null,null,null,null,26,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,310,",,1",300,",,1",null,null,null,null,null,null,null,null,null,null,76,",,1",125,",,1",null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-08,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,1,2400",0,",,1,2400",0,",,1,2400",100,",,1",56,",,1",null,null,null,null,null,null,null,null,null,null,null,null,25,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,300,",,1",320,",,1",null,null,null,null,null,null,null,null,null,null,58,",,1",94,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-09,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,1,2400",0,",,1,2400",0,",,1,2400",122,",,1",39,",,1",null,null,null,null,null,null,null,null,null,null,null,null,8,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,",,1",170,",,1",null,null,null,null,null,null,null,null,null,null,54,",,1",116,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-10,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",94,",,1,2400",0,",,1,2400",0,",,1,2400",111,",,1",39,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
USW00094728,2026-01-11,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,1,2400",0,"T,,1,2400",0,",,1,2400",83,",,1",11,",,1",null,null,null,null,null,null,null,null,null,null,null,null,52,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,280,",,1",310,",,1",null,null,null,null,null,null,null,null,null,null,80,",,1",152,",,1",null,null,null,null,1,",,1",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
